         gisjoin           tract_id City State stateabbr statedesc countyname placename                  placefips place_tractid
nbr.val       NA  1.58820000000e+04   NA    NA        NA        NA         NA        NA         15058.000000000000            NA
nbr.null      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.000000000000            NA
nbr.na        NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA           824.000000000000            NA
min           NA 5.30132487394e-315   NA    NA        NA        NA         NA        NA         15003.000000000000            NA
max           NA 2.72127342952e-313   NA    NA        NA        NA         NA        NA       5553000.000000000000            NA
range         NA 2.66826018078e-313   NA    NA        NA        NA         NA        NA       5537997.000000000000            NA
sum           NA 2.18031061219e-309   NA    NA        NA        NA         NA        NA   42233039762.000000000000            NA
median        NA 1.58115846524e-313   NA    NA        NA        NA         NA        NA       3260600.000000000000            NA
mean          NA 1.37281867029e-313   NA    NA        NA        NA         NA        NA       2804691.178244122770            NA
SE.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         13228.471679999062            NA
CI.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         25929.412409634813            NA
var           NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA 2635036507681.393554687500            NA
std.dev       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA       1623279.553152011242            NA
coef.var      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.578773009215            NA
                   access2015        arthritis2015            binge2015          bphigh2015             bpmed2015          cancer2015
nbr.val   15058.0000000000000  15058.0000000000000  15058.0000000000000  15058.000000000000   15058.0000000000000 15058.0000000000000
nbr.null      0.0000000000000      0.0000000000000      0.0000000000000      0.000000000000       0.0000000000000     0.0000000000000
nbr.na      824.0000000000000    824.0000000000000    824.0000000000000    824.000000000000     824.0000000000000   824.0000000000000
min           2.9000000953674      2.0999999046326      2.5000000000000      5.699999809265      11.5000000000000     0.6999999880791
max          64.0999984741211     55.4000015258789     43.2000007629395     71.000000000000      93.1999969482422    20.8999996185303
range        61.1999983787537     53.3000016212463     40.7000007629395     65.300000190735      81.6999969482422    20.1999996304512
sum      275899.0999567509280 323777.8000245095463 255485.2999987602525 465040.399811744923 1089070.9001722335815 80539.7000029087067
median       16.0000000000000     21.0000000000000     16.3999996185303     29.500000000000      73.3000030517578     5.1999998092651
mean         18.3224266142085     21.5020454259868     16.9667485721052     30.883277979263      72.3250697418139     5.3486319566283
SE.mean       0.0857641097672      0.0494076780859      0.0340754368337      0.071274593760       0.0612050004856     0.0133319741430
CI.mean       0.1681080797459      0.0968450545371      0.0667919980533      0.139706867175       0.1199692404016     0.0261322898177
var         110.7588558486982     36.7583646895221     17.4843767840378     76.495659662294      56.4080522876061     2.6764320272353
std.dev      10.5242033355831      6.0628676952018      4.1814323842480      8.746179718157       7.5105294279169     1.6359804483047
coef.var      0.5743891656481      0.2819670210479      0.2464486561157      0.283201146071       0.1038440675512     0.3058689514573
                  casthma2015             chd2015           checkup2015        cholscreen2015            colon2015            copd2015
nbr.val   15058.0000000000000 15058.0000000000000   15058.0000000000000   15058.0000000000000  15053.0000000000000 15058.0000000000000
nbr.null      0.0000000000000     0.0000000000000       0.0000000000000       0.0000000000000      0.0000000000000     0.0000000000000
nbr.na      824.0000000000000   824.0000000000000     824.0000000000000     824.0000000000000    829.0000000000000   824.0000000000000
min           5.5000000000000     0.4000000059605      45.7999992370606      29.3999996185303     23.3999996185303     1.1000000238419
max          19.2999992370605    34.5999984741211      89.4000015258789      94.4000015258789     81.5000000000000    25.0000000000000
range        13.7999992370605    34.1999984681606      43.6000022888183      65.0000019073486     58.1000003814697    23.8999999761581
sum      145361.2001304626465 84946.8000198304653 1036964.8001441956731 1087843.1999797821045 881647.7000904085580 92979.1000269651413
median        9.3000001907349     5.4000000953674      68.6999969482422      72.9000015258789     59.5999984741211     5.6999998092651
mean          9.6534201175762     5.6413069477906      68.8647097983926      72.2435383171591     58.5695675340735     6.1747310417695
SE.mean       0.0151680624949     0.0173197129833       0.0505491308397       0.0663044811802      0.0792527708129     0.0206734091163
CI.mean       0.0297312461635     0.0339487426532       0.0990824406777       0.1299648424034      0.1553450680927     0.0405223947148
var           3.4643958646721     4.5169852698987      38.4764218781449      66.1992478537003     94.5479183119313     6.4356362783596
std.dev       1.8612887644511     2.1253200394055       6.2029365528067       8.1362920211667      9.7235753872704     2.5368555887870
